Taxonomy,Meth_Acq001,Meth_Acq002,Meth_Acq003,Meth_Acq004,Meth_Acq005,Meth_Ext001,Meth_Ext002,Meth_Ext003,Meth_Ext004,Meth_Ext005,Meth_Pre001,Meth_Pre002,Meth_Pre003,Meth_Pre004,Meth_Pre005,Meth_Rein001,Meth_Rein002,Meth_Rein003,Meth_Rein004,Meth_Rein005,Sal_Acq001,Sal_Acq002,Sal_Acq003,Sal_Acq004,Sal_Acq005,Sal_Ext001,Sal_Ext002,Sal_Ext003,Sal_Ext004,Sal_Ext005,Sal_Pre001,Sal_Pre002,Sal_Pre003,Sal_Pre004,Sal_Pre005,Sal_Rein001,Sal_Rein002,Sal_Rein003,Sal_Rein004,Sal_Rein005
d_Archaea|p_Candidatus Geothermarchaeota,2,4,0,1,1,1,1,0,1,0,3,1,3,0,1,1,0,1,1,1,1,2,1,0,2,1,4,1,1,1,4,1,2,0,1,0,1,1,0,1
d_Archaea|p_Candidatus Korarchaeota,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1
d_Archaea|p_Candidatus Lokiarchaeota,15,18,24,53,18,6,10,7,5,6,14,17,11,9,11,40,12,3,8,14,13,20,9,16,8,57,68,16,8,5,23,15,30,10,27,6,11,11,9,13
d_Archaea|p_Candidatus Micrarchaeota,0,13,0,1,1,0,0,0,0,0,1,0,0,0,2,3,0,0,1,1,4,1,0,0,0,6,5,0,0,0,0,0,2,0,4,0,0,0,1,0
d_Archaea|p_Crenarchaeota,316,360,370,462,451,198,221,179,248,215,217,197,418,401,425,291,214,187,263,191,138,145,199,141,130,569,735,267,175,181,301,234,270,79,440,235,212,212,219,155
d_Archaea|p_Euryarchaeota,3732,4604,3359,4198,3547,3352,3987,2403,2350,2069,3049,3590,2920,2806,3484,4435,3616,2175,2641,3119,2225,2140,2693,1994,1837,4567,5482,2908,2405,2409,3944,3727,4147,2045,3128,3107,2543,2666,2543,2445
d_Archaea|p_Thaumarchaeota,183,90,155,231,124,357,159,66,127,134,75,31,199,167,118,256,115,49,121,63,214,69,92,62,57,224,264,79,93,76,308,100,82,62,271,89,71,41,186,128
d_Bacteria|p_Acidobacteria,1694,1630,1919,2067,1855,1529,1749,1304,1193,986,1504,2250,1607,1187,1577,1916,1830,1221,1210,1760,1373,1364,1267,891,1268,1487,1601,1197,1593,965,1721,2202,2447,1182,1344,1601,1543,1062,1574,1050
d_Bacteria|p_Actinobacteria,97743,97224,76707,87147,74821,77435,94815,71670,71361,57994,112950,118108,110935,97881,153673,109746,94240,56627,69220,84645,63606,87017,69843,46124,42928,95268,109820,102835,68773,127824,140882,138424,143202,74406,108699,86452,70180,129405,64828,86703
d_Bacteria|p_Aquificae,293,292,285,438,340,341,360,163,145,149,298,254,234,212,257,437,219,169,274,218,227,118,194,177,111,375,341,269,167,87,280,241,300,90,400,197,135,148,181,185
d_Bacteria|p_Armatimonadetes,342,269,342,465,402,386,353,304,333,224,372,590,464,336,402,421,422,430,420,524,270,352,343,295,285,661,595,619,404,178,321,376,420,208,397,581,471,629,483,258
d_Bacteria|p_Bacteroidetes,3829652,2708217,3603068,3785706,3558586,2914660,3804647,2606742,2824464,2036919,4018824,3857755,2879344,2806023,3120370,2427747,3927039,3494177,2814107,3115952,4026331,3842475,3911854,3319439,4006587,3786713,3898988,3841664,4081889,4057145,3324192,3189356,2920294,3995526,2755453,3929690,4166703,4182267,4087732,3516289
d_Bacteria|p_Balneolaeota,219,63,260,276,226,267,190,109,198,134,156,138,137,127,114,228,170,113,177,117,292,130,175,165,150,162,94,180,178,68,352,219,203,116,199,162,144,222,202,166
d_Bacteria|p_Caldiserica,11,14,43,59,47,7,5,0,6,1,2,17,3,2,16,35,4,4,8,3,4,10,7,3,2,28,33,10,3,3,20,11,17,16,24,14,6,5,5,9
d_Bacteria|p_Calditrichaeota,69,74,63,85,75,83,64,73,73,57,75,111,54,47,62,141,48,49,55,71,43,37,56,50,48,72,51,64,60,91,83,120,159,27,27,87,44,47,100,85
d_Bacteria|p_candidate division Zixibacteria,106,96,75,99,82,92,75,39,72,59,122,155,87,83,110,109,72,48,80,57,55,99,81,125,89,62,64,70,72,21,224,218,240,89,131,29,38,74,64,47
d_Bacteria|p_Candidatus Bipolaricaulota,41,30,29,54,23,39,28,11,10,5,3,15,43,36,30,30,28,11,11,25,22,23,15,8,11,13,17,13,9,14,4,12,11,4,14,12,6,14,22,18
d_Bacteria|p_Candidatus Cloacimonetes,32,118,16,36,43,15,32,30,8,5,17,5,14,11,13,47,38,14,23,30,21,17,10,10,14,23,27,35,13,5,16,9,76,7,20,43,12,20,24,14
d_Bacteria|p_Candidatus Gracilibacteria,18,0,8,73,21,9,0,1,4,14,2,0,2,3,2,5,6,1,10,2,3,1,1,2,0,13,27,0,3,1,12,7,9,10,12,10,4,0,0,4
d_Bacteria|p_Candidatus Saccharibacteria,656,349,1128,2513,1608,254,325,183,545,575,187,374,257,178,275,761,419,163,888,609,863,1416,275,351,263,924,792,895,457,137,1868,2274,381,197,180,1268,555,455,512,583
d_Bacteria|p_Chlamydiae,359,346,429,526,443,359,267,163,236,204,458,573,356,321,403,372,205,198,274,241,330,284,287,461,274,434,500,405,307,89,447,498,569,213,349,268,295,329,340,194
d_Bacteria|p_Chlorobi,2637,1947,2637,2868,2515,2624,3513,2480,2318,2009,2316,3030,2736,1891,2725,2701,2632,2076,2538,2227,2425,1845,1948,2568,1975,2520,2605,2123,2541,1547,3134,3186,3581,1565,1534,2174,2381,2347,2617,1947
d_Bacteria|p_Chloroflexi,2642,2177,1943,2511,2402,1477,2445,1570,1227,1076,1312,1777,1550,1283,1639,2491,2105,1304,1431,1492,1177,1119,1096,856,918,1493,1294,1376,1286,700,1419,1639,1857,814,1643,1487,1206,1156,1226,917
d_Bacteria|p_Chrysiogenetes,163,280,100,157,104,78,100,34,49,54,87,83,211,121,94,79,104,56,75,98,96,101,84,27,92,105,94,114,102,38,65,45,98,65,51,131,111,58,112,71
d_Bacteria|p_Coprothermobacterota,61,45,11,28,18,20,33,33,24,22,32,28,14,10,13,40,14,19,17,11,8,5,18,16,19,32,16,33,21,1,29,21,91,1,16,22,14,23,19,11
d_Bacteria|p_Cyanobacteria,6614,8547,6040,7821,6330,6623,6962,4389,4517,4056,4455,6007,5922,4812,5554,8291,5645,4148,5529,5284,5753,4904,4976,4345,4327,7918,8361,5519,5248,3582,6931,6987,8466,3559,5714,5746,5157,4380,5935,4672
d_Bacteria|p_Deferribacteres,263,614,325,333,361,413,416,324,363,288,329,385,315,233,338,522,356,268,338,414,211,253,244,161,227,408,556,245,294,369,425,618,644,360,303,392,282,232,230,352
d_Bacteria|p_Deinococcus-Thermus,2938,3014,2429,2896,2671,2498,2791,1830,1702,1407,2417,2755,2195,2082,2838,3589,2900,1536,1974,2190,1262,1455,1462,1238,1275,2064,1962,1962,1489,1496,2612,2793,3321,1589,1803,2264,1659,1565,1707,1589
d_Bacteria|p_Dictyoglomi,97,48,72,176,109,34,37,17,10,18,24,39,11,27,21,70,28,13,30,16,27,41,47,12,29,87,72,40,12,28,41,50,69,28,86,32,9,8,34,31
d_Bacteria|p_Elusimicrobia,153,161,179,222,107,140,90,31,49,41,81,101,135,101,120,168,105,61,55,63,111,120,126,63,90,122,160,146,116,67,138,143,155,55,87,86,79,90,148,100
d_Bacteria|p_Fibrobacteres,355,315,377,382,419,692,588,702,838,578,429,564,485,362,452,773,470,461,720,885,261,297,438,366,377,842,647,416,629,1250,865,1119,763,615,378,954,995,512,647,1106
d_Bacteria|p_Firmicutes,436101,1539488,722738,463829,738239,298876,374373,259996,132440,183738,311189,391374,1434012,1561617,1134571,653905,329091,151954,250106,297236,293303,411523,261709,144643,216450,476634,319831,424429,181956,94065,895958,999406,1251437,437325,953283,366294,190688,150586,217351,250770
d_Bacteria|p_Fusobacteria,2680,3303,2834,5106,3066,2610,1852,851,973,1159,1196,1446,1156,1479,1189,3227,1465,798,1745,1174,877,727,1447,747,605,2182,2576,1618,936,812,1967,1578,1910,1020,5065,1651,818,696,1104,1440
d_Bacteria|p_Gemmatimonadetes,539,348,293,327,316,540,520,404,412,373,273,373,477,370,523,646,514,366,479,547,350,326,363,273,326,577,467,359,399,419,537,628,475,349,277,529,448,399,388,495
d_Bacteria|p_Ignavibacteriae,233,284,219,277,288,394,325,132,195,199,220,218,235,208,278,335,257,187,249,140,380,209,257,217,177,273,334,234,226,76,426,269,315,310,360,176,169,175,243,222
d_Bacteria|p_Kiritimatiellaeota,228,258,293,302,293,225,323,178,175,132,135,280,343,232,349,282,300,198,211,285,263,248,225,174,202,250,246,253,268,150,309,384,505,148,241,279,213,211,259,177
d_Bacteria|p_Lentisphaerae,409,273,277,308,298,380,363,350,238,211,273,466,221,205,328,405,359,299,308,357,237,132,207,142,144,235,228,123,231,189,320,391,433,227,203,220,217,98,174,286
d_Bacteria|p_Nitrospirae,589,438,368,525,483,825,562,329,356,291,453,424,546,387,462,864,399,395,502,412,528,206,172,324,213,294,328,331,278,168,595,381,512,144,384,254,223,311,348,364
d_Bacteria|p_Planctomycetes,7569,5875,6575,7842,7105,6512,8010,5929,5813,4819,6808,9255,6754,5471,7482,7870,7402,5413,6111,7017,5433,5705,6011,4706,5086,7846,7919,6351,6430,5232,8919,9771,10013,4868,5278,7397,6982,6365,6517,5632
d_Bacteria|p_Proteobacteria,247270,270796,213369,266227,242066,223284,341410,182610,271103,199598,186921,252037,201692,167716,215765,318230,273265,418754,446591,241867,250469,294556,390109,150019,307647,255083,281472,259604,298263,171163,251636,272739,280161,131797,178422,239874,202188,171834,258410,207435
d_Bacteria|p_Spirochaetes,3755,5212,3830,4752,4104,3458,4001,3229,2911,2435,3075,3795,2995,2333,2935,4757,3239,2393,3284,3678,2182,2294,2728,2743,2198,4745,5122,3366,2941,2413,4190,4709,5082,2314,3616,3733,3155,2749,3129,2942
d_Bacteria|p_Synergistetes,877,1312,1011,1240,1156,719,1003,681,567,484,678,1024,760,547,788,999,968,589,608,764,556,564,608,587,485,790,767,652,651,423,856,1053,1333,439,512,894,671,526,675,610
d_Bacteria|p_Tenericutes,5150,3055,7257,8071,6454,5552,4438,1475,1501,1859,1639,1313,1185,1719,1408,5323,2219,1645,3690,1961,1675,1338,1486,1603,2353,4454,5770,2067,1283,1284,3242,2377,2415,1737,7741,3351,1530,1075,1356,2534
d_Bacteria|p_Thermodesulfobacteria,391,332,357,424,346,168,241,229,228,157,410,595,375,275,320,216,165,199,301,185,190,226,227,407,222,276,329,354,307,65,448,394,581,87,175,236,273,309,343,186
d_Bacteria|p_Thermotogae,827,1836,755,1175,831,1117,909,304,428,502,600,662,471,530,511,1298,662,299,500,662,671,555,604,465,384,893,1061,616,551,317,952,814,1123,417,891,739,449,371,738,498
d_Bacteria|p_Verrucomicrobia,9482,3209,4934,5182,4721,1108798,4639,1516184,1337907,2162499,3980,5346,5167,3383,5228,1103061,4066,518687,1050426,890974,3202,3322,3701,980793,67993,4820,4516,3728,4520,192690,6416,18089,19227,3775,628290,4786,4744,4043,4796,575014
d_Viruses|d_Bamfordvirae|p_Nucleocytoviricota,53,48,163,173,137,78,83,23,66,61,99,84,98,58,81,140,79,47,67,120,28,45,106,32,58,447,614,109,103,40,41,27,45,32,80,128,103,93,107,64
d_Viruses|d_Bamfordvirae|p_Preplasmiviricota,1,5,4,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,0,5,7,6,0,0,0,0,0,1,2,0,0,3,3,3
d_Viruses|d_Helvetiavirae|p_Dividoviricota,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,2
d_Viruses|d_Loebvirae|p_Hofneiviricota,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0
d_Viruses|d_Orthornavirae|p_Duplornaviricota,2,0,7,2,6,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0
d_Viruses|d_Orthornavirae|p_Kitrinoviricota,5,10,1,0,2,0,2,0,2,0,0,3,0,1,4,1,4,1,1,1,1,1,1,0,1,2,7,8,0,0,0,0,3,1,1,2,1,1,0,1
d_Viruses|d_Orthornavirae|p_Lenarviricota,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_Viruses|d_Orthornavirae|p_Negarnaviricota,4,28,24,29,15,6,37,4,4,1,27,126,48,39,54,13,35,13,5,32,38,57,39,32,23,65,85,19,65,14,3,66,102,35,1,48,68,19,71,17
d_Viruses|d_Orthornavirae|p_Pisuviricota,3,5,2,7,5,77,19,2,13,12,45,5,30,20,20,58,8,10,4,34,24,2,2,0,3,363,534,4,1,0,20,2,21,3,14,10,4,0,1,3
d_Viruses|d_Pararnavirae|p_Artverviricota,0,2,1,0,0,1,2,0,1,0,1,0,0,0,0,2,1,3,4,0,0,0,5,2,1,1,1,3,0,1,3,0,0,1,0,3,1,0,0,1
d_Viruses|d_Sangervirae|p_Phixviricota,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
d_Viruses|d_Shotokuvirae|p_Cossaviricota,6,2,2,2,1,4,0,2,0,0,0,1,4,0,0,13,1,0,2,7,1,1,2,1,1,6,15,0,0,0,4,0,0,0,0,1,1,1,0,0
d_Viruses|d_Shotokuvirae|p_Cressdnaviricota,1,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,10,13,1,1,1,1,3,1,3,1,0,0,0,0,0
d_Viruses|p_Peploviricota,87,43,16,42,22,26,49,4,6,2,32,17,30,47,57,39,44,4,6,5,11,14,16,25,9,43,30,40,64,17,4,3,4,20,28,20,23,65,70,27
d_Viruses|p_Uroviricota,459,1006,398,396,417,485,699,353,310,296,258,333,863,737,635,697,525,291,426,341,340,214,259,225,153,576,579,346,305,208,617,397,523,135,527,361,290,215,342,260
